광역지자체,자치구,연월,주기,지표명,값,단위
강원,,2023-01,반기(구합산),경제활동인구 (천명),859.2,
강원,,2023-01,반기(구합산),비경제활동인구 (천명),467.4,
강원,,2023-01,반기(구합산),실업자 (천명),15.7,
강원,,2023-01,반기(구합산),취업자 (천명),843.8,
강원,,2023-07,반기(구합산),15세이상인구 (천명),1328.5,
강원,,2023-07,반기(구합산),경제활동인구 (천명),862.7,
강원,,2023-07,반기(구합산),비경제활동인구 (천명),465.5,
강원,,2023-07,반기(구합산),실업자 (천명),14.1,
강원,,2023-07,반기(구합산),취업자 (천명),849.1,
강원,,2024-01,반기(구합산),15세이상인구 (천명),1328.8,
강원,,2024-01,반기(구합산),경제활동인구 (천명),867.9,
강원,,2024-01,반기(구합산),비경제활동인구 (천명),460.7,
강원,,2024-01,반기(구합산),실업자 (천명),18.6,
강원,,2024-01,반기(구합산),취업자 (천명),849.4,
강원,,2024-07,반기(구합산),15세이상인구 (천명),1326.3,
강원,,2024-07,반기(구합산),경제활동인구 (천명),870.8,
강원,,2024-07,반기(구합산),비경제활동인구 (천명),455.6,
강원,,2024-07,반기(구합산),실업자 (천명),15.8,
강원,,2024-07,반기(구합산),취업자 (천명),855.1,
강원,,2025-01,반기(구합산),15세이상인구 (천명),1327.0,
강원,,2025-01,반기(구합산),경제활동인구 (천명),874.7,
강원,,2025-01,반기(구합산),비경제활동인구 (천명),452.1,
강원,,2025-01,반기(구합산),실업자 (천명),20.3,
강원,,2025-01,반기(구합산),취업자 (천명),853.9,
강원,,2025-07,반기(구합산),15세이상인구 (천명),1324.9,
강원,,2025-07,반기(구합산),경제활동인구 (천명),869.3,
강원,,2025-07,반기(구합산),비경제활동인구 (천명),455.7,
강원,,2025-07,반기(구합산),실업자 (천명),16.2,
강원,,2025-07,반기(구합산),취업자 (천명),852.9,
강원,,2026-01,반기(구합산),15세이상인구 (천명),1328.0,
강원,,2026-01,반기(구합산),경제활동인구 (천명),877.4,
강원,,2026-01,반기(구합산),비경제활동인구 (천명),450.5,
강원,,2026-01,반기(구합산),실업자 (천명),16.1,
강원,,2026-01,반기(구합산),취업자 (천명),861.4,
경기,,2008-01,연간,15세이상인구 (천명),8997.1,
경기,,2008-01,연간,경제활동인구 (천명),5660,
경기,,2008-01,연간,경제활동참가율 (％),62.9,
경기,,2008-01,연간,고용률 (%),61.2,
경기,,2008-01,연간,비경제활동인구 (천명),3337.1,
경기,,2008-01,연간,실업률 (％),2.7,
경기,,2008-01,연간,실업자 (천명),155.4,
경기,,2008-01,연간,취업자 (천명),5504.5,
경기,,2009-01,연간,15세이상인구 (천명),9206.8,
경기,,2009-01,연간,경제활동인구 (천명),5679,
경기,,2009-01,연간,경제활동참가율 (％),61.7,
경기,,2009-01,연간,고용률 (%),59.7,
경기,,2009-01,연간,비경제활동인구 (천명),3527.9,
경기,,2009-01,연간,실업률 (％),3.1,
경기,,2009-01,연간,실업자 (천명),178.1,
경기,,2009-01,연간,취업자 (천명),5500.8,
경기,,2010-01,연간,15세이상인구 (천명),9432.4,
경기,,2010-01,연간,경제활동인구 (천명),5856.1,
경기,,2010-01,연간,경제활동참가율 (％),62.1,
경기,,2010-01,연간,고용률 (%),59.9,
경기,,2010-01,연간,비경제활동인구 (천명),3576.3,
경기,,2010-01,연간,실업률 (％),3.6,
경기,,2010-01,연간,실업자 (천명),210.4,
경기,,2010-01,연간,취업자 (천명),5645.7,
경기,,2011-01,분기,15세이상인구 (천명),9538.8,
경기,,2011-01,분기,경제활동인구 (천명),5880.2,
경기,,2011-01,분기,경제활동참가율 (％),61.6,
경기,,2011-01,분기,고용률 (%),58.9,
경기,,2011-01,분기,비경제활동인구 (천명),3658.5,
경기,,2011-01,분기,실업률 (％),4.4,
경기,,2011-01,분기,실업자 (천명),260,
경기,,2011-01,분기,취업자 (천명),5620.2,
경기,,2011-04,분기,15세이상인구 (천명),9597.7,
경기,,2011-04,분기,경제활동인구 (천명),5962.5,
경기,,2011-04,분기,경제활동참가율 (％),62.1,
경기,,2011-04,분기,고용률 (%),60.1,
경기,,2011-04,분기,비경제활동인구 (천명),3635.2,
경기,,2011-04,분기,실업률 (％),3.3,
경기,,2011-04,분기,실업자 (천명),195.3,
경기,,2011-04,분기,취업자 (천명),5767.2,
경기,,2011-07,분기,15세이상인구 (천명),9644.8,
경기,,2011-07,분기,경제활동인구 (천명),5887.5,
경기,,2011-07,분기,경제활동참가율 (％),61,
경기,,2011-07,분기,고용률 (%),59.2,
경기,,2011-07,분기,비경제활동인구 (천명),3757.3,
경기,,2011-07,분기,실업률 (％),3.1,
경기,,2011-07,분기,실업자 (천명),180,
경기,,2011-07,분기,취업자 (천명),5707.5,
경기,,2011-10,분기,15세이상인구 (천명),9699.1,
경기,,2011-10,분기,경제활동인구 (천명),5900.4,
경기,,2011-10,분기,경제활동참가율 (％),60.8,
경기,,2011-10,분기,고용률 (%),59,
경기,,2011-10,분기,비경제활동인구 (천명),3798.7,
경기,,2011-10,분기,실업률 (％),3,
경기,,2011-10,분기,실업자 (천명),176.2,
경기,,2011-10,분기,취업자 (천명),5724.2,
경기,,2012-01,분기,15세이상인구 (천명),9742.1,
경기,,2012-01,분기,경제활동인구 (천명),5958.4,
경기,,2012-01,분기,경제활동참가율 (％),61.2,
경기,,2012-01,분기,고용률 (%),58.9,
경기,,2012-01,분기,비경제활동인구 (천명),3783.8,
경기,,2012-01,분기,실업률 (％),3.7,
경기,,2012-01,분기,실업자 (천명),222.1,
경기,,2012-01,분기,취업자 (천명),5736.3,
경기,,2012-04,분기,15세이상인구 (천명),9786.7,
경기,,2012-04,분기,경제활동인구 (천명),6143.4,
경기,,2012-04,분기,경제활동참가율 (％),62.8,
경기,,2012-04,분기,고용률 (%),60.8,
경기,,2012-04,분기,비경제활동인구 (천명),3643.3,
경기,,2012-04,분기,실업률 (％),3.2,
경기,,2012-04,분기,실업자 (천명),197.6,
경기,,2012-04,분기,취업자 (천명),5945.8,
경기,,2012-07,분기,15세이상인구 (천명),9831.4,
경기,,2012-07,분기,경제활동인구 (천명),6135.1,
경기,,2012-07,분기,경제활동참가율 (％),62.4,
경기,,2012-07,분기,고용률 (%),60.5,
경기,,2012-07,분기,비경제활동인구 (천명),3696.3,
경기,,2012-07,분기,실업률 (％),3.1,
경기,,2012-07,분기,실업자 (천명),191.8,
경기,,2012-07,분기,취업자 (천명),5943.3,
경기,,2012-10,분기,15세이상인구 (천명),9885.2,
경기,,2012-10,분기,경제활동인구 (천명),6008.6,
경기,,2012-10,분기,경제활동참가율 (％),60.8,
경기,,2012-10,분기,고용률 (%),58.8,
경기,,2012-10,분기,비경제활동인구 (천명),3876.6,
경기,,2012-10,분기,실업률 (％),3.3,
경기,,2012-10,분기,실업자 (천명),196.3,
경기,,2012-10,분기,취업자 (천명),5812.3,
경기,,2013-01,반기(구합산),15세이상인구 (천명),9944.6,
경기,,2013-01,반기(구합산),경제활동인구 (천명),5961.6,
경기,,2013-01,반기(구합산),비경제활동인구 (천명),3982.9,
경기,,2013-01,반기(구합산),실업자 (천명),194.8,
경기,,2013-01,반기(구합산),취업자 (천명),5766.9,
경기,,2013-07,반기(구합산),15세이상인구 (천명),10042.9,
경기,,2013-07,반기(구합산),경제활동인구 (천명),5989.3,
경기,,2013-07,반기(구합산),비경제활동인구 (천명),4053.7,
경기,,2013-07,반기(구합산),실업자 (천명),181.4,
경기,,2013-07,반기(구합산),취업자 (천명),5808.1,
경기,,2014-01,반기(구합산),15세이상인구 (천명),10140.5,
경기,,2014-01,반기(구합산),경제활동인구 (천명),6093.0,
경기,,2014-01,반기(구합산),비경제활동인구 (천명),4047.2,
경기,,2014-01,반기(구합산),실업자 (천명),213.1,
경기,,2014-01,반기(구합산),취업자 (천명),5880.2,
경기,,2014-07,반기(구합산),15세이상인구 (천명),10233.1,
경기,,2014-07,반기(구합산),경제활동인구 (천명),6141.0,
경기,,2014-07,반기(구합산),비경제활동인구 (천명),4091.7,
경기,,2014-07,반기(구합산),실업자 (천명),197.2,
경기,,2014-07,반기(구합산),취업자 (천명),5944.4,
경기,,2015-01,반기(구합산),15세이상인구 (천명),10324.3,
경기,,2015-01,반기(구합산),경제활동인구 (천명),6231.4,
경기,,2015-01,반기(구합산),비경제활동인구 (천명),4093.0,
경기,,2015-01,반기(구합산),실업자 (천명),236.6,
경기,,2015-01,반기(구합산),취업자 (천명),5995.0,
경기,,2015-07,반기(구합산),15세이상인구 (천명),10422.1,
경기,,2015-07,반기(구합산),경제활동인구 (천명),6275.8,
경기,,2015-07,반기(구합산),비경제활동인구 (천명),4146.6,
경기,,2015-07,반기(구합산),실업자 (천명),219.5,
경기,,2015-07,반기(구합산),취업자 (천명),6056.4,
경기,,2016-01,반기(구합산),15세이상인구 (천명),10505.3,
경기,,2016-01,반기(구합산),경제활동인구 (천명),6377.2,
경기,,2016-01,반기(구합산),비경제활동인구 (천명),4127.9,
경기,,2016-01,반기(구합산),실업자 (천명),237.0,
경기,,2016-01,반기(구합산),취업자 (천명),6140.2,
경기,,2016-07,반기(구합산),15세이상인구 (천명),10609.1,
경기,,2016-07,반기(구합산),경제활동인구 (천명),6448.5,
경기,,2016-07,반기(구합산),비경제활동인구 (천명),4160.6,
경기,,2016-07,반기(구합산),실업자 (천명),214.1,
경기,,2016-07,반기(구합산),취업자 (천명),6234.3,
경기,,2017-01,반기(구합산),15세이상인구 (천명),10717.0,
경기,,2017-01,반기(구합산),경제활동인구 (천명),6502.8,
경기,,2017-01,반기(구합산),비경제활동인구 (천명),4214.3,
경기,,2017-01,반기(구합산),실업자 (천명),223.4,
경기,,2017-01,반기(구합산),취업자 (천명),6280.0,
경기,,2017-07,반기(구합산),15세이상인구 (천명),10819.2,
경기,,2017-07,반기(구합산),경제활동인구 (천명),6552.9,
경기,,2017-07,반기(구합산),비경제활동인구 (천명),4266.5,
경기,,2017-07,반기(구합산),실업자 (천명),256.3,
경기,,2017-07,반기(구합산),취업자 (천명),6296.7,
경기,,2018-01,반기(구합산),15세이상인구 (천명),10908.0,
경기,,2018-01,반기(구합산),경제활동인구 (천명),6672.8,
경기,,2018-01,반기(구합산),비경제활동인구 (천명),4234.9,
경기,,2018-01,반기(구합산),실업자 (천명),261.7,
경기,,2018-01,반기(구합산),취업자 (천명),6411.0,
경기,,2018-07,반기(구합산),15세이상인구 (천명),11027.8,
경기,,2018-07,반기(구합산),경제활동인구 (천명),6841.5,
경기,,2018-07,반기(구합산),비경제활동인구 (천명),4186.4,
경기,,2018-07,반기(구합산),실업자 (천명),284.7,
경기,,2018-07,반기(구합산),취업자 (천명),6556.6,
경기,,2019-01,반기(구합산),15세이상인구 (천명),11181.0,
경기,,2019-01,반기(구합산),경제활동인구 (천명),6965.4,
경기,,2019-01,반기(구합산),비경제활동인구 (천명),4215.7,
경기,,2019-01,반기(구합산),실업자 (천명),287.6,
경기,,2019-01,반기(구합산),취업자 (천명),6677.7,
경기,,2019-07,반기(구합산),15세이상인구 (천명),11313.1,
경기,,2019-07,반기(구합산),경제활동인구 (천명),7040.3,
경기,,2019-07,반기(구합산),비경제활동인구 (천명),4272.9,
경기,,2019-07,반기(구합산),실업자 (천명),270.8,
경기,,2019-07,반기(구합산),취업자 (천명),6769.6,
경기,,2020-01,반기(구합산),15세이상인구 (천명),11410.3,
경기,,2020-01,반기(구합산),경제활동인구 (천명),6838.0,
경기,,2020-01,반기(구합산),비경제활동인구 (천명),4572.2,
경기,,2020-01,반기(구합산),실업자 (천명),273.9,
경기,,2020-01,반기(구합산),취업자 (천명),6564.7,
경기,,2020-07,반기(구합산),15세이상인구 (천명),11514.3,
경기,,2020-07,반기(구합산),경제활동인구 (천명),7063.9,
경기,,2020-07,반기(구합산),비경제활동인구 (천명),4450.6,
경기,,2020-07,반기(구합산),실업자 (천명),301.2,
경기,,2020-07,반기(구합산),취업자 (천명),6762.5,
경기,,2021-01,반기(구합산),15세이상인구 (천명),11643.9,
경기,,2021-01,반기(구합산),경제활동인구 (천명),7151.8,
경기,,2021-01,반기(구합산),비경제활동인구 (천명),4492.1,
경기,,2021-01,반기(구합산),실업자 (천명),289.7,
경기,,2021-01,반기(구합산),취업자 (천명),6862.0,
경기,,2021-07,반기(구합산),15세이상인구 (천명),11764.1,
경기,,2021-07,반기(구합산),경제활동인구 (천명),7319.9,
경기,,2021-07,반기(구합산),비경제활동인구 (천명),4444.0,
경기,,2021-07,반기(구합산),실업자 (천명),249.4,
경기,,2021-07,반기(구합산),취업자 (천명),7071.1,
경기,,2022-01,반기(구합산),15세이상인구 (천명),11855.7,
경기,,2022-01,반기(구합산),경제활동인구 (천명),7422.8,
경기,,2022-01,반기(구합산),비경제활동인구 (천명),4433.1,
경기,,2022-01,반기(구합산),실업자 (천명),222.3,
경기,,2022-01,반기(구합산),취업자 (천명),7200.3,
경기,,2022-07,반기(구합산),15세이상인구 (천명),11924.7,
경기,,2022-07,반기(구합산),경제활동인구 (천명),7592.2,
경기,,2022-07,반기(구합산),비경제활동인구 (천명),4332.4,
경기,,2022-07,반기(구합산),실업자 (천명),232.5,
경기,,2022-07,반기(구합산),취업자 (천명),7360.4,
경기,,2023-01,반기(구합산),15세이상인구 (천명),11941.3,
경기,,2023-01,반기(구합산),경제활동인구 (천명),7560.4,
경기,,2023-01,반기(구합산),비경제활동인구 (천명),4381.2,
경기,,2023-01,반기(구합산),실업자 (천명),215.7,
경기,,2023-01,반기(구합산),취업자 (천명),7344.9,
경기,,2023-07,반기(구합산),15세이상인구 (천명),11985.7,
경기,,2023-07,반기(구합산),경제활동인구 (천명),7682.6,
경기,,2023-07,반기(구합산),비경제활동인구 (천명),4303.3,
경기,,2023-07,반기(구합산),실업자 (천명),245.5,
경기,,2023-07,반기(구합산),취업자 (천명),7436.8,
경기,,2024-01,반기(구합산),15세이상인구 (천명),12046.9,
경기,,2024-01,반기(구합산),경제활동인구 (천명),7705.0,
경기,,2024-01,반기(구합산),비경제활동인구 (천명),4341.7,
경기,,2024-01,반기(구합산),실업자 (천명),282.1,
경기,,2024-01,반기(구합산),취업자 (천명),7422.9,
경기,,2024-07,반기(구합산),15세이상인구 (천명),12102.7,
경기,,2024-07,반기(구합산),경제활동인구 (천명),7750.7,
경기,,2024-07,반기(구합산),비경제활동인구 (천명),4352.0,
경기,,2024-07,반기(구합산),실업자 (천명),263.2,
경기,,2024-07,반기(구합산),취업자 (천명),7487.4,
경기,,2025-01,반기(구합산),15세이상인구 (천명),12177.7,
경기,,2025-01,반기(구합산),경제활동인구 (천명),7820.4,
경기,,2025-01,반기(구합산),비경제활동인구 (천명),4357.1,
경기,,2025-01,반기(구합산),실업자 (천명),272.4,
