광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
부산,,2019-07,129,1352,3294
부산,,2019-08,370,3549,2178
부산,,2019-09,2182,6380,2221
부산,,2019-10,1073,3546,1972
부산,,2019-11,2462,2626,2155
부산,,2019-12,1790,772,1701
부산,,2020-01,,1564,3747
부산,,2020-02,,1158,2001
부산,,2020-03,720,149,2943
부산,,2020-04,812,2096,617
부산,,2020-05,516,2962,466
부산,,2020-06,4356,871,3186
부산,,2020-07,996,3974,2927
부산,,2020-08,1167,2671,1111
부산,,2020-09,766,5672,2202
부산,,2020-10,167,821,1973
부산,,2020-11,443,3611,82
부산,,2020-12,4142,1755,1472
부산,,2021-01,1954,316,1619
부산,,2021-02,896,,461
부산,,2021-03,799,514,1921
부산,,2021-04,1146,4480,5194
부산,,2021-05,2373,2237,533
부산,,2021-06,2061,1636,1824
부산,,2021-07,2806,787,1239
부산,,2021-08,215,1510,767
부산,,2021-09,651,2468,528
부산,,2021-10,359,1596,539
부산,,2021-11,2267,1046,2077
부산,,2021-12,3269,336,7502
부산,,2022-01,2797,417,694
부산,,2022-02,2995,130,797
부산,,2022-03,3695,1195,100
부산,,2022-04,3908,1181,1843
부산,,2022-05,2742,1997,4174
부산,,2022-06,3217,1803,1726
부산,,2022-07,3555,5573,1419
부산,,2022-08,504,87,1639
부산,,2022-09,6473,2174,6538
부산,,2022-10,5407,711,1696
부산,,2022-11,4286,109,1727
부산,,2022-12,570,2565,3678
부산,,2023-01,1927,4898,3036
부산,,2023-02,3663,,64
부산,,2023-03,1185,1733,1495
부산,,2023-04,1470,1080,433
부산,,2023-05,1989,127,2167
부산,,2023-06,2371,391,1246
부산,,2023-07,2058,870,1199
부산,,2023-08,2002,,201
부산,,2023-09,2162,1067,3109
부산,,2023-10,2435,3620,34
부산,,2023-11,1025,1097,6856
부산,,2023-12,5658,4276,3429
부산,,2024-01,1787,,629
부산,,2024-02,499,1516,2443
부산,,2024-03,0,1801,841
부산,,2024-04,3906,669,193
부산,,2024-05,4216,1539,1397
부산,,2024-06,1449,1467,2391
부산,,2024-07,4827,,188
부산,,2024-08,2135,2437,1608
부산,,2024-09,0,2450,6298
부산,,2024-10,4430,977,285
부산,,2024-11,1740,548,1217
부산,,2024-12,4190,3084,914
부산,,2025-01,184,0,4054
부산,,2025-02,2850,384,2675
부산,,2025-03,5298,1509,1751
부산,,2025-04,540,3446,2376
부산,,2025-05,750,1068,1813
부산,,2025-06,3870,540,1121
부산,,2025-07,818,3124,970
부산,,2025-08,1300,0,852
부산,,2025-09,7763,544,1498
부산,,2025-10,1176,1170,0
부산,,2025-11,5406,536,0
부산,,2025-12,285,3404,4254
부산,,2026-01,1821,543,1901
부산,,2026-02,1248,2668,0
부산,,2026-03,0,0,0
부산,,2026-04,447,625,367
부산,,2026-05,326,1494,463
부산,,2026-06,1613,767,2673
부산,,2026-07,667,1344,2466
대구,,2007-01,691,,
대구,,2007-02,2626,,
대구,,2007-03,917,,
대구,,2007-04,275,,
대구,,2007-05,418,,
대구,,2007-06,693,,
대구,,2007-07,52,,
대구,,2007-08,688,,
대구,,2007-09,2257,,
대구,,2007-10,0,,
대구,,2007-11,2979,,
대구,,2007-12,4871,,
대구,,2008-01,5965,,
대구,,2008-02,0,,
대구,,2008-03,0,,
대구,,2008-04,1439,,
대구,,2008-05,0,,
대구,,2008-06,3220,,
대구,,2008-07,688,,
대구,,2008-08,1036,,
대구,,2008-09,636,,
대구,,2008-10,0,,
대구,,2008-11,0,,
대구,,2008-12,8022,,
대구,,2009-01,0,,
대구,,2009-02,0,,
대구,,2009-03,0,,
대구,,2009-04,657,,
대구,,2009-05,0,,
대구,,2009-06,0,,
대구,,2009-07,1108,,
대구,,2009-08,0,,
대구,,2009-09,0,,
대구,,2009-10,0,,
대구,,2009-11,0,,
대구,,2009-12,3856,,
대구,,2010-01,260,,
대구,,2010-02,0,,
대구,,2010-03,0,,
대구,,2010-04,0,,
대구,,2010-05,0,,
대구,,2010-06,0,,
대구,,2010-07,0,,
대구,,2010-08,458,,2418
대구,,2010-09,54,,1087
대구,,2010-10,49,,0
대구,,2010-11,399,,500
대구,,2010-12,1918,,2175
대구,,2011-01,0,0,0
대구,,2011-02,0,0,2604
대구,,2011-03,29,0,1180
대구,,2011-04,800,1152,0
대구,,2011-05,0,750,788
대구,,2011-06,672,158,0
대구,,2011-07,42,151,108
대구,,2011-08,95,0,903
